1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
2.3.4,2.3.4,1
2.4.5,2.4.5,1
2.5.6,2.5.6,1
2.6.7,2.6.7,1
2.7.8,2.7.8,1
2.8.9,2.8.9,1
2.9.10,2.9.10,1
2.10.11,2.10.11,1
2.11.12,2.11.12,1
2.12.13,2.12.13,1
3.1.14,3.1.14,1
3.2.15,3.2.15,1
3.3.16,3.3.16,1
3.4.17,3.4.17,1
3.5.18,3.5.18,1
3.6.19,3.6.19,1
3.7.20,3.7.20,1
3.8.21,3.8.21,1
3.9.22,3.9.22,1
3.10.23,3.10.23,1
3.11.24,3.11.24,1
3.12.25,3.12.25,1
3.13.26,3.13.26,1
3.14.27,3.14.27,1
3.15.28,3.15.28,1
3.16.29,3.16.29,1
3.17.30,3.17.30,1
3.18.31,3.18.31,1
3.19.32,3.19.32,1
3.20.33,3.20.33,1
3.21.34,3.21.34,1
3.22.35,3.22.35,1
3.23.36,3.23.36,1
3.24.37,3.24.37,1
3.25.38,3.25.38,1
3.26.39,3.26.39,1
3.27.40,3.27.40,1
4.1.41,4.1.41,1
4.2.42,4.2.42,1
4.3.43,4.3.43,1
4.4.44,4.4.44,1
4.5.45,4.5.45,1
4.6.46,4.6.46,1
4.7.47,4.7.47,1
4.8.48,4.8.48,1
4.9.49,4.9.49,1
4.10.50,4.10.50,1
4.11.51,4.11.51,1
4.12.52,4.12.52,1
5.1.53,5.1.53,1
5.2.54,5.2.54,1
5.3.55,5.3.55,1
5.4.56,5.4.56,1
5.5.57,5.5.57,1
5.6.58,5.6.58,1
5.7.59,5.7.59,1
5.8.60,5.8.60,1
5.9.61,5.9.61,1
6.1.62,6.1.62,1
6.2.63,6.2.63,1
6.3.64,6.3.64,1
6.4.65,6.4.65,1
6.5.66,6.5.66,1
7.1.67,7.1.67,1
7.2.68,7.2.68,1
7.3.69,7.3.69,1
7.4.70,7.4.70,0.8263158
7.5.71,7.5.71,1
7.6.72,7.6.72,1
7.7.73,7.7.73,1
7.8.74,7.8.74,1
8.1.75,8.1.75,1
8.2.76,8.2.76,1
8.3.77,8.3.77,1
8.4.78,8.4.78,1
8.5.79,8.5.79,1
8.6.80,8.6.80,1
8.7.81,8.7.81,1
8.8.82,8.8.82,1
8.9.83,8.9.83,1
8.10.84,8.10.84,1
8.11.85,8.11.85,1
8.12.86,8.12.86,1
8.13.87,8.13.87,1
8.14.88,8.14.88,1
8.15.89,8.15.89,1
8.16.90,8.16.90,1
8.17.91,8.17.91,1
8.18.92,8.18.92,1
8.19.93,8.19.93,1
8.20.94,8.20.94,1
8.21.95,8.21.95,1
8.22.96,8.22.96,1
8.23.97,8.23.97,1
8.24.98,8.24.98,1
8.25.99,8.25.99,1
8.26.100,8.26.100,1
8.27.101,8.27.101,1
8.28.102,8.28.102,1
8.29.103,8.29.103,1
8.30.104,8.30.104,1
8.31.105,8.31.105,1
8.32.106,8.32.106,1
8.33.107,8.33.107,1
8.34.108,8.34.108,1
8.35.109,8.35.109,1
8.36.110,8.36.110,1
8.37.111,8.37.111,1
8.38.112,8.38.112,1
8.39.113,8.39.113,1
8.40.114,8.40.114,1
8.41.115,8.41.115,1
8.42.116,8.42.116,1
8.43.117,8.43.117,1
8.44.118,8.44.118,1
8.45.119,8.45.119,1
8.46.120,8.46.120,1
8.47.121,8.47.121,1
8.48.122,8.48.122,1
8.49.123,8.49.123,1
8.50.124,8.50.124,1
8.51.125,8.51.125,1
8.52.126,8.52.126,1
8.53.127,8.53.127,1
8.54.128,8.54.128,1
8.55.129,8.55.129,1
8.56.130,8.56.130,1
8.57.131,8.57.131,1
8.58.132,8.58.132,1
9.1.133,9.1.133,1
9.2.134,9.2.134,1
9.3.135,9.3.135,1
9.4.136,9.4.136,1
9.5.137,9.5.137,1
10.1.138,10.1.138,1
10.2.139,10.2.139,1
10.3.140,10.3.140,1
10.4.141,10.4.141,1
10.5.142,10.5.142,1
10.6.143,10.6.143,1
10.7.144,10.7.144,1
10.8.145,10.8.145,1
11.1.146,11.1.146,1
11.2.147,11.2.147,1
11.3.148,11.3.148,1
11.4.149,11.4.149,1
11.5.150,11.5.150,1
11.6.151,11.6.151,1
11.7.152,11.7.152,1
11.8.153,11.8.153,1
11.9.154,11.9.154,1
11.10.155,11.10.155,1
11.11.156,11.11.156,1
12.1.157,12.1.157,1
12.2.158,12.2.158,1
12.3.159,12.3.159,1
13.1.160,13.1.160,1
13.2.161,13.2.161,1
13.3.162,13.3.162,1
13.4.163,13.4.163,1
13.5.164,13.5.164,1
13.6.165,13.6.165,1
13.7.166,13.7.166,1
13.8.167,13.8.167,1
13.9.168,13.9.168,1
13.10.169,13.10.169,1
14.1.170,14.1.170,1
14.2.171,14.2.171,1
14.3.172,14.3.172,1
15.1.173,15.1.173,1
15.2.174,15.2.174,1
15.3.175,15.3.175,1
16.1.176,16.1.176,1
16.2.177,16.2.177,1
16.3.178,16.3.178,1
16.4.179,16.4.179,1
16.5.180,16.5.180,1
16.6.181,16.6.181,1
16.7.182,16.7.182,1
17.1.183,17.1.183,1
17.2.184,17.2.184,1
