1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
2.1.4,2.1.4,1
3.1.5,_,0
3.2.6,_,0
3.3.7,3.1.5,1
3.4.8,3.2.6,0.8827964
3.5.9,3.3.7,1
3.6.10,3.4.8,1
3.7.11,3.5.9,1
4.1.12,4.1.10,1
4.2.13,4.2.11,0.97427106
4.3.14,4.3.12,1
5.1.15,5.1.13,1
5.2.16,4.2.11,0.75620115
5.2.16,5.2.14,0.9755845
5.3.17,5.3.15,1
5.4.18,5.4.16,1
5.5.19,5.5.17,1
6.1.20,6.1.18,1
6.2.21,6.2.19,1
6.3.22,6.3.20,1
6.4.23,6.4.21,1
6.5.24,6.5.22,1
6.6.25,6.6.23,1
6.7.26,6.7.24,1
6.8.27,6.8.25,1
6.9.28,6.9.26,1
6.10.29,6.10.27,1
6.11.30,6.11.28,1
6.12.31,6.12.29,1
7.1.32,7.1.30,1
7.2.33,7.2.31,1
7.3.34,7.3.32,1
8.1.35,8.1.33,1
8.2.36,8.2.34,1
8.3.37,8.3.35,1
9.1.38,9.1.36,1
9.2.39,9.2.37,1
9.3.40,9.3.38,1
9.4.41,9.4.39,1
9.5.42,9.5.40,1
9.6.43,9.6.41,1
9.7.44,9.7.42,1
9.8.45,9.8.43,1
9.9.46,9.9.44,1
9.10.47,9.10.45,1
9.11.48,9.11.46,1
9.12.49,9.12.47,1
9.13.50,9.13.48,1
9.14.51,9.14.49,1
9.15.52,9.15.50,1
10.1.53,10.1.51,1
10.2.54,10.2.52,1
10.3.55,10.3.53,1
10.4.56,10.4.54,1
10.5.57,10.5.55,1
11.1.58,11.1.56,1
11.2.59,11.2.57,1
11.3.60,11.3.58,1
11.4.61,11.4.59,1
11.5.62,11.5.60,1
11.6.63,11.6.61,1
11.7.64,11.7.62,1
11.8.65,11.8.63,1
11.9.66,11.9.64,1
11.10.67,11.10.65,1
11.11.68,11.11.66,1
11.12.69,11.12.67,1
11.13.70,11.13.68,1
11.14.71,11.14.69,1
12.1.72,12.1.70,1
12.2.73,12.2.71,1
12.3.74,12.3.72,1
12.4.75,12.4.73,1
12.5.76,12.5.74,1
12.6.77,12.6.75,1
12.7.78,12.7.76,1
12.8.79,12.8.77,1
12.9.80,12.9.78,1
12.10.81,12.10.79,1
12.11.82,12.11.80,1
12.12.83,12.12.81,1
12.13.84,12.13.82,1
12.14.85,12.14.83,1
