1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
3.1.4,3.1.4,1
4.1.5,4.1.5,1
5.1.6,5.1.6,1
6.1.7,6.1.7,1
6.2.8,6.2.8,1
6.3.9,6.3.9,1
6.4.10,6.4.10,1
6.5.11,6.5.11,1
6.6.12,6.6.12,1
6.7.13,6.7.13,1
7.1.14,7.1.14,1
8.1.15,8.1.15,1
8.2.16,8.2.16,1
8.3.17,8.3.17,1
9.1.18,9.1.18,1
10.1.19,10.1.19,1
10.2.20,10.2.20,1
10.3.21,10.3.21,1
10.4.22,10.4.22,1
10.5.23,10.5.23,1
11.1.24,11.1.24,1
11.2.25,11.2.25,1
11.3.26,11.3.26,1
12.1.27,12.1.27,1
13.1.28,13.1.28,1
14.1.29,14.1.29,1
15.1.30,15.1.30,1
16.1.31,16.1.31,1
17.1.32,17.1.32,1
18.1.33,18.1.33,1
18.2.34,18.2.34,1
18.3.35,18.3.35,1
18.4.36,18.4.36,1
18.5.37,18.5.37,1
19.1.38,19.1.38,1
20.1.39,20.1.39,1
21.1.40,21.1.40,1
22.1.41,22.1.41,1
23.1.42,23.1.42,1
24.1.43,24.1.43,1
25.1.44,25.1.44,1
26.1.45,26.1.45,1
27.1.46,27.1.46,1
28.1.47,28.1.47,1
29.1.48,29.1.48,1
30.1.49,30.1.49,1
31.1.50,31.1.50,1
32.1.51,32.1.51,1
33.1.52,33.1.52,1
34.1.53,34.1.53,1
35.1.54,35.1.54,1
36.1.55,36.1.55,1
37.1.56,37.1.56,1
38.1.57,38.1.57,1
39.1.58,39.1.58,1
39.2.59,39.2.59,1
39.3.60,39.3.60,1
39.4.61,39.4.61,1
39.5.62,39.5.62,1
40.1.63,40.1.63,1
41.1.64,41.1.64,1
42.1.65,42.1.65,1
44.1.66,44.1.66,1
46.1.67,46.1.67,1
48.1.68,48.1.68,1
50.1.69,50.1.69,1
52.1.70,52.1.70,1
