1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
2.1.4,2.1.4,1
2.2.5,2.2.5,1
2.3.6,2.3.6,0.5639422
2.4.7,2.4.7,1
2.5.8,2.3.6,0.64597636
2.6.9,_,0
2.7.10,2.5.8,1
2.8.11,2.6.9,1
2.9.12,2.7.10,1
2.10.13,2.8.11,1
3.1.14,3.1.12,1
3.2.15,3.2.13,1
3.3.16,3.3.14,1
3.4.17,3.4.15,1
3.5.18,3.5.16,1
3.6.19,3.6.17,1
3.7.20,3.7.18,1
3.8.21,3.8.19,1
3.9.22,3.9.20,1
3.10.23,3.10.21,1
3.11.24,3.11.22,1
3.12.25,3.12.23,1
3.13.26,3.13.24,1
3.14.27,3.14.25,1
3.15.28,3.15.26,1
3.16.29,3.16.27,1
3.17.30,3.17.28,1
3.18.31,3.18.29,1
3.19.32,3.19.30,1
4.1.33,20.1.89,0.6583434
4.2.34,20.2.90,0.80203056
4.3.35,20.3.91,0.79920137
5.1.36,4.1.31,1
6.1.37,5.1.32,1
7.1.38,6.1.33,1
8.1.39,7.1.34,1
8.2.40,7.2.35,1
9.1.41,8.1.36,1
10.1.42,9.1.37,1
11.1.43,10.1.38,1
11.2.44,10.2.39,1
11.3.45,10.3.40,1
11.4.46,10.4.41,1
11.5.47,10.5.42,1
11.6.48,10.6.43,1
12.1.49,11.1.44,1
13.1.50,12.1.45,1
13.2.51,12.2.46,1
14.1.52,13.1.47,1
14.2.53,13.2.48,1
15.1.54,14.1.49,1
15.2.55,14.2.50,1
16.1.56,15.1.51,1
16.2.57,15.2.52,1
16.3.58,15.3.53,1
17.1.59,16.1.54,1
17.2.60,16.2.55,1
17.3.61,16.3.56,1
17.4.62,16.4.57,1
17.5.63,16.5.58,1
17.6.64,16.6.59,1
17.7.65,16.7.60,1
18.1.66,17.1.61,1
18.2.67,17.2.62,1
18.3.68,17.3.63,1
18.4.69,17.4.64,1
18.5.70,17.5.65,1
18.6.71,17.6.66,1
18.7.72,17.7.67,1
18.8.73,17.8.68,1
18.9.74,17.9.69,1
18.10.75,17.10.70,1
18.11.76,17.11.71,1
18.12.77,17.12.72,1
18.13.78,_,0
18.14.79,17.13.73,0.8453909
18.15.80,17.14.74,0.8787277
18.16.81,17.15.75,1
18.17.82,17.16.76,1
18.18.83,17.17.77,1
18.19.84,17.18.78,1
18.20.85,17.19.79,1
19.1.86,18.1.80,1
20.1.87,19.1.81,1
20.2.88,19.2.82,1
20.3.89,19.3.83,1
20.4.90,19.4.84,0.9551064
20.5.91,19.5.85,0.87535465
20.6.92,19.6.86,0.74358284
20.7.93,19.7.87,1
20.8.94,19.8.88,0.67445993
20.9.95,21.1.92,1
21.1.96,22.1.93,1
21.2.97,22.2.94,1
21.3.98,22.3.95,1
21.4.99,22.4.96,1
21.5.100,22.5.97,1
22.1.101,23.1.98,1
23.1.102,24.1.99,1
