1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
2.3.4,2.3.4,1
2.4.5,2.4.5,1
2.5.6,2.5.6,1
2.6.7,2.6.7,1
2.7.8,2.7.8,1
2.8.9,2.8.9,1
2.9.10,2.9.10,1
2.10.11,2.10.11,1
2.11.12,2.11.12,1
3.1.13,3.1.13,1
3.2.14,3.2.14,1
3.3.15,3.3.15,1
3.4.16,3.4.16,1
4.1.17,4.1.17,1
5.1.18,5.1.18,1
6.1.19,6.1.19,1
6.2.20,6.2.20,1
6.3.21,6.3.21,1
6.4.22,6.4.22,1
7.1.23,7.1.23,1
7.2.24,7.2.24,1
8.1.25,8.1.25,1
9.1.26,9.1.26,1
10.1.27,10.1.27,1
11.1.28,11.1.28,1
12.1.29,12.1.29,1
13.1.30,13.1.30,1
14.1.31,14.1.31,1
15.1.32,15.1.32,1
15.2.33,15.2.33,1
15.3.34,15.3.34,1
15.4.35,15.4.35,1
15.5.36,15.5.36,1
16.1.37,16.1.37,1
17.1.38,17.1.38,1
17.2.39,17.2.39,1
18.1.40,18.1.40,1
18.2.41,18.2.41,1
19.1.42,19.1.42,0.769863
20.1.43,20.1.43,1
21.1.44,21.1.44,1
22.1.45,22.1.45,1
23.1.46,23.1.46,1
24.1.47,24.1.47,0.90232563
24.2.48,24.2.48,1
25.1.49,25.1.49,1
25.2.50,25.2.50,1
25.3.51,25.3.51,1
25.4.52,25.4.52,1
26.1.53,26.1.53,1
26.2.54,26.2.54,1
27.1.55,27.1.55,1
28.1.56,28.1.56,1
28.2.57,28.2.57,1
29.1.58,29.1.58,1
30.1.59,30.1.59,1
31.1.60,31.1.60,1
32.1.61,32.1.61,1
33.1.62,33.1.62,1
