_,15.1.35,0
_,23.1.50,0
_,27.1.54,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
2.3.4,2.3.4,1
3.1.5,3.1.5,1
3.2.6,3.2.6,1
3.3.7,3.3.7,1
3.4.8,3.4.8,1
3.5.9,3.5.9,1
3.6.10,3.6.10,1
3.7.11,3.7.11,1
3.8.12,3.8.12,1
4.1.13,4.1.13,1
5.1.14,5.1.14,0.76449955
6.1.15,6.1.15,0.96710503
6.2.16,6.2.16,1
6.3.17,6.3.17,1
6.4.18,6.4.18,1
6.5.19,6.5.19,1
7.1.20,7.1.20,0.7624624
8.1.21,8.1.21,0.9527122
8.2.22,8.2.22,1
8.3.23,8.3.23,1
8.4.24,8.4.24,1
8.5.25,8.5.25,1
9.1.26,9.1.26,1
10.1.27,10.1.27,1
11.1.28,11.1.28,0.80657566
11.1.28,34.1.62,0.56769603
12.1.29,12.1.29,0.7519089
13.1.30,13.1.30,1
13.2.31,13.2.31,1
13.3.32,13.3.32,1
13.4.33,13.4.33,1
14.1.34,_,0
15.1.35,16.1.36,1
15.2.36,16.2.37,1
15.3.37,16.3.38,1
16.1.38,17.1.39,0.7738428
16.1.38,11.1.28,0.45909303
17.1.39,18.1.40,1
18.1.40,19.1.41,1
18.2.41,19.2.42,1
18.3.42,19.3.43,1
19.1.43,20.1.44,1
20.1.44,21.1.45,1
20.2.45,21.2.46,1
20.3.46,21.3.47,1
20.4.47,21.4.48,1
21.1.48,22.1.49,0.701535
21.1.48,14.1.34,0.5426323
22.1.49,24.1.51,1
23.1.50,25.1.52,1
24.1.51,26.1.53,0.6271056
25.1.52,28.1.55,1
25.2.53,28.2.56,1
26.1.54,29.1.57,1
27.1.55,30.1.58,1
28.1.56,31.1.59,0.7806176
29.1.57,32.1.60,0.953776
30.1.58,33.1.61,1
31.1.59,40.1.68,0.56163037
31.1.59,34.1.62,0.79805386
32.1.60,35.1.63,1
33.1.61,36.1.64,1
34.1.62,37.1.65,0.80815375
34.1.62,34.1.62,0.66645193
35.1.63,38.1.66,0.8047738
36.1.64,39.1.67,1
37.1.65,40.1.68,0.80398273
37.1.65,31.1.59,0.57656
38.1.66,41.1.69,0.79187536
39.1.67,42.1.70,0.77721286
40.1.68,43.1.71,0.8539442
41.1.69,44.1.72,1
42.1.70,45.1.73,1
43.1.71,46.1.74,1
44.1.72,47.1.75,1
45.1.73,48.1.76,1
46.1.74,54.1.80,0.9333334
47.1.75,50.1.78,1
48.1.76,52.1.79,1
49.1.77,56.1.81,1
50.1.78,49.1.77,0.6
