1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
2.3.4,2.3.4,1
3.1.5,3.1.5,1
4.1.6,4.1.6,1
5.1.7,5.1.7,1
6.1.8,6.1.8,1
7.1.9,7.1.9,1
8.1.10,8.1.10,1
8.2.11,8.2.11,1
9.1.12,9.1.12,1
9.2.13,9.2.13,1
9.3.14,9.3.14,1
9.4.15,9.4.15,1
9.5.16,9.5.16,1
9.6.17,9.6.17,1
9.7.18,9.7.18,1
10.1.19,10.1.19,1
11.1.20,11.1.20,1
11.2.21,11.2.21,1
11.3.22,11.3.22,1
11.4.23,11.4.23,1
11.5.24,11.5.24,1
11.6.25,11.6.25,1
11.7.26,11.7.26,1
11.8.27,11.8.27,1
12.1.28,12.1.28,1
13.1.29,13.1.29,1
14.1.30,14.1.30,1
15.1.31,15.1.31,1
16.1.32,16.1.32,1
17.1.33,17.1.33,1
18.1.34,18.1.34,1
19.1.35,19.1.35,1
19.2.36,19.2.36,1
20.1.37,20.1.37,1
20.2.38,20.2.38,1
21.1.39,21.1.39,1
22.1.40,22.1.40,1
23.1.41,23.1.41,1
24.1.42,24.1.42,1
25.1.43,25.1.43,1
26.1.44,26.1.44,1
27.1.45,27.1.45,1
28.1.46,28.1.46,1
29.1.47,29.1.47,1
29.2.48,29.2.48,1
29.3.49,29.3.49,1
29.4.50,29.4.50,1
29.5.51,29.5.51,1
29.6.52,29.6.52,1
29.7.53,29.7.53,1
29.8.54,29.8.54,1
29.9.55,29.9.55,1
29.10.56,29.10.56,1
29.11.57,29.11.57,1
29.12.58,29.12.58,1
29.13.59,29.13.59,1
29.14.60,29.14.60,1
29.15.61,29.15.61,1
29.16.62,29.16.62,1
30.1.63,30.1.63,1
31.1.64,31.1.64,1
32.1.65,32.1.65,1
33.1.66,33.1.66,1
33.2.67,33.2.67,1
34.1.68,34.1.68,1
35.1.69,35.1.69,1
36.1.70,36.1.70,1
37.1.71,37.1.71,1
37.2.72,37.2.72,1
38.1.73,38.1.73,1
39.1.74,39.1.74,1
39.2.75,39.2.75,1
39.3.76,39.3.76,1
39.4.77,39.4.77,1
39.5.78,39.5.78,1
39.6.79,39.6.79,1
39.7.80,39.7.80,1
40.1.81,40.1.81,1
41.1.82,41.1.82,1
41.2.83,41.2.83,1
41.3.84,41.3.84,1
42.1.85,42.1.85,1
43.1.86,43.1.86,1
43.2.87,43.2.87,1
44.1.88,44.1.88,1
45.1.89,45.1.89,1
46.1.90,46.1.90,1
46.2.91,46.2.91,1
46.3.92,46.3.92,1
47.1.93,47.1.93,1
47.2.94,47.2.94,1
47.3.95,47.3.95,1
48.1.96,48.1.96,1
49.1.97,49.1.97,1
49.2.98,49.2.98,1
49.3.99,49.3.99,1
50.1.100,50.1.100,1
50.2.101,50.2.101,1
50.3.102,50.3.102,1
51.1.103,51.1.103,1
52.1.104,52.1.104,1
53.1.105,53.1.105,1
54.1.106,54.1.106,1
55.1.107,55.1.107,1
56.1.108,56.1.108,1
57.1.109,57.1.109,1
58.1.110,58.1.110,1
59.1.111,59.1.111,1
60.1.112,60.1.112,1
60.2.113,60.2.113,1
60.3.114,60.3.114,1
61.1.115,61.1.115,1
61.2.116,61.2.116,1
61.3.117,61.3.117,1
62.1.118,62.1.118,1
63.1.119,63.1.119,1
64.1.120,64.1.120,1
65.1.121,65.1.121,1
66.1.122,66.1.122,1
67.1.123,67.1.123,1
68.1.124,68.1.124,1
69.1.125,69.1.125,1
70.1.126,70.1.126,1
71.1.127,71.1.127,1
72.1.128,72.1.128,1
73.1.129,73.1.129,1
74.1.130,74.1.130,1
75.1.131,75.1.131,1
76.1.132,76.1.132,1
77.1.133,77.1.133,1
77.2.134,77.2.134,1
77.3.135,77.3.135,1
78.1.136,78.1.136,1
78.2.137,78.2.137,1
78.3.138,78.3.138,1
78.4.139,78.4.139,1
79.1.140,79.1.140,1
80.1.141,80.1.141,1
81.1.142,81.1.142,1
82.1.143,82.1.143,1
83.1.144,83.1.144,1
84.1.145,84.1.145,1
85.1.146,85.1.146,1
86.1.147,86.1.147,1
87.1.148,87.1.148,1
88.1.149,88.1.149,1
89.1.150,89.1.150,1
90.1.151,90.1.151,1
91.1.152,91.1.152,1
92.1.153,92.1.153,1
93.1.154,93.1.154,1
94.1.155,94.1.155,1
95.1.156,95.1.156,1
96.1.157,96.1.157,1
97.1.158,97.1.158,1
98.1.159,98.1.159,1
99.1.160,99.1.160,1
100.1.161,100.1.161,1
101.1.162,101.1.162,1
102.1.163,102.1.163,1
103.1.164,103.1.164,1
104.1.165,104.1.165,1
105.1.166,105.1.166,1
106.1.167,106.1.167,1
107.1.168,107.1.168,1
108.1.169,108.1.169,1
109.1.170,109.1.170,1
110.1.171,110.1.171,1
111.1.172,111.1.172,1
112.1.173,112.1.173,1
113.1.174,113.1.174,1
114.1.175,114.1.175,1
115.1.176,115.1.176,1
116.1.177,116.1.177,1
117.1.178,117.1.178,1
118.1.179,118.1.179,1
119.1.180,119.1.180,1
120.1.181,120.1.181,1
121.1.182,121.1.182,1
122.1.183,122.1.183,1
123.1.184,123.1.184,1
124.1.185,124.1.185,1
125.1.186,125.1.186,1
