1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
2.3.4,2.3.4,1
2.4.5,2.4.5,1
2.5.6,2.5.6,1
2.6.7,2.6.7,1
2.7.8,2.7.8,1
2.8.9,2.8.9,1
2.9.10,2.9.10,1
2.10.11,2.10.11,1
2.11.12,2.11.12,1
3.1.13,3.1.13,1
4.1.14,4.1.14,1
4.2.15,4.2.15,1
4.3.16,4.3.16,1
4.4.17,4.4.17,1
4.5.18,4.5.18,1
4.6.19,4.6.19,1
4.7.20,4.7.20,1
4.8.21,4.8.21,1
5.1.22,5.1.22,1
6.1.23,_,0
7.1.24,_,0
7.2.25,_,0
7.3.26,_,0
7.4.27,_,0
7.5.28,_,0
8.1.29,6.1.23,1
8.2.30,6.2.24,1
8.3.31,6.3.25,1
8.4.32,6.4.26,1
8.5.33,6.5.27,1
9.1.34,7.1.28,1
9.2.35,7.2.29,1
9.3.36,7.3.30,1
9.4.37,7.4.31,1
9.5.38,7.5.32,1
9.6.39,7.6.33,1
9.7.40,7.7.34,1
9.8.41,7.8.35,1
9.9.42,7.9.36,1
9.10.43,7.10.37,1
9.11.44,7.11.38,1
9.12.45,7.12.39,1
9.13.46,7.13.40,1
9.14.47,7.14.41,1
9.15.48,7.15.42,1
9.16.49,7.16.43,1
9.17.50,7.17.44,1
9.18.51,7.18.45,1
9.19.52,7.19.46,1
9.20.53,7.20.47,1
9.21.54,7.21.48,1
9.22.55,7.22.49,1
9.23.56,7.23.50,1
9.24.57,7.24.51,1
9.25.58,7.25.52,1
9.26.59,7.26.53,1
9.27.60,7.27.54,1
9.28.61,7.28.55,1
10.1.62,8.1.56,1
10.2.63,8.2.57,1
10.3.64,8.3.58,1
10.4.65,8.4.59,1
10.5.66,8.5.60,1
10.6.67,8.6.61,1
10.7.68,8.7.62,1
10.8.69,8.8.63,1
10.9.70,8.9.64,1
10.10.71,8.10.65,1
10.11.72,8.11.66,1
10.12.73,8.12.67,1
10.13.74,8.13.68,1
10.14.75,8.14.69,1
10.15.76,8.15.70,1
11.1.77,9.1.71,1
11.2.78,9.2.72,1
11.3.79,9.3.73,1
11.4.80,9.4.74,1
11.5.81,9.5.75,1
12.1.82,10.1.76,1
13.1.83,11.1.77,1
13.2.84,11.2.78,1
13.3.85,11.3.79,1
13.4.86,11.4.80,1
13.5.87,11.5.81,1
13.6.88,11.6.82,1
13.7.89,11.7.83,1
14.1.90,12.1.84,1
14.2.91,12.2.85,1
15.1.92,13.1.86,1
15.2.93,13.2.87,1
15.3.94,13.3.88,1
16.1.95,14.1.89,1
16.2.96,14.2.90,1
16.3.97,14.3.91,1
16.4.98,14.4.92,1
16.5.99,14.5.93,1
16.6.100,14.6.94,1
16.7.101,14.7.95,1
16.8.102,14.8.96,1
16.9.103,14.9.97,1
16.10.104,14.10.98,1
16.11.105,14.11.99,1
16.12.106,14.12.100,1
16.13.107,14.13.101,1
16.14.108,14.14.102,1
16.15.109,14.15.103,1
16.16.110,14.16.104,1
16.17.111,14.17.105,1
16.18.112,14.18.106,1
16.19.113,14.19.107,1
16.20.114,14.20.108,1
16.21.115,14.21.109,1
16.22.116,14.22.110,1
16.23.117,14.23.111,1
17.1.118,15.1.112,1
17.2.119,15.2.113,1
18.1.120,16.1.114,1
18.2.121,16.2.115,1
18.3.122,16.3.116,1
18.4.123,16.4.117,1
18.5.124,16.5.118,1
18.6.125,16.6.119,1
18.7.126,16.7.120,1
18.8.127,16.8.121,1
18.9.128,16.9.122,1
18.10.129,16.10.123,1
18.11.130,16.11.124,1
18.12.131,16.12.125,1
18.13.132,16.13.126,1
18.14.133,16.14.127,1
18.15.134,16.15.128,1
18.16.135,16.16.129,1
18.17.136,16.17.130,1
18.18.137,16.18.131,1
18.19.138,16.19.132,1
18.20.139,16.20.133,1
18.21.140,16.21.134,1
18.22.141,16.22.135,1
18.23.142,16.23.136,1
18.24.143,16.24.137,1
18.25.144,16.25.138,1
18.26.145,16.26.139,1
19.1.146,17.1.140,1
20.1.147,18.1.141,1
20.2.148,18.2.142,1
20.3.149,18.3.143,1
21.1.150,19.1.144,1
22.1.151,20.1.145,1
22.2.152,20.2.146,1
22.3.153,20.3.147,1
23.1.154,21.1.148,1
