1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,1
3.6.8,3.6.8,1
3.7.9,3.7.9,1
4.1.10,4.1.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
8.2.15,8.2.15,1
9.1.16,9.1.16,1
10.1.17,10.1.17,1
11.1.18,11.1.18,1
12.1.19,12.1.19,0.9200001
13.1.20,13.1.20,1
14.1.21,14.1.21,1
15.1.22,15.1.22,1
16.1.23,16.1.23,1
17.1.24,17.1.24,1
18.1.25,18.1.25,1
19.1.26,19.1.26,1
20.1.27,20.1.27,1
21.1.28,21.1.28,1
22.1.29,22.1.29,1
23.1.30,23.1.30,1
23.2.31,23.2.31,1
24.1.32,24.1.32,1
25.1.33,25.1.33,1
26.1.34,26.1.34,1
27.1.35,27.1.35,1
28.1.36,28.1.36,1
29.1.37,29.1.37,1
30.1.38,30.1.38,1
31.1.39,31.1.39,1
32.1.40,32.1.40,1
33.1.41,33.1.41,1
34.1.42,34.1.42,1
34.2.43,34.2.43,1
35.1.44,35.1.44,1
36.1.45,36.1.45,1
37.1.46,37.1.46,1
38.1.47,38.1.47,0.97317797
39.1.48,39.1.48,0.9174843
39.2.49,39.2.49,1
40.1.50,40.1.50,1
41.1.51,41.1.51,1
42.1.52,42.1.52,1
43.1.53,43.1.53,1
44.1.54,44.1.54,1
45.1.55,45.1.55,1
45.2.56,45.2.56,1
