1.1.1,1.1.1,1
2.1.2,2.1.2,1
2.2.3,2.2.3,1
2.3.4,2.3.4,1
2.4.5,2.4.5,1
3.1.6,3.1.6,1
4.1.7,4.1.7,1
5.1.8,5.1.8,1
6.1.9,6.1.9,1
7.1.10,7.1.10,1
8.1.11,8.1.11,1
8.2.12,8.2.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
9.3.15,9.3.15,1
9.4.16,9.4.16,1
9.5.17,9.5.17,1
9.6.18,9.6.18,1
9.7.19,9.7.19,1
10.1.20,10.1.20,1
11.1.21,11.1.21,1
11.2.22,11.2.22,1
11.3.23,11.3.23,1
11.4.24,11.4.24,1
11.5.25,11.5.25,1
11.6.26,11.6.26,1
11.7.27,11.7.27,1
11.8.28,11.8.28,1
12.1.29,12.1.29,1
13.1.30,13.1.30,1
14.1.31,14.1.31,1
15.1.32,15.1.32,1
16.1.33,16.1.33,1
17.1.34,17.1.34,1
18.1.35,18.1.35,1
19.1.36,19.1.36,1
19.2.37,19.2.37,1
20.1.38,20.1.38,1
20.2.39,20.2.39,1
21.1.40,21.1.40,1
22.1.41,22.1.41,1
23.1.42,23.1.42,1
24.1.43,24.1.43,1
25.1.44,25.1.44,1
26.1.45,26.1.45,1
26.2.46,26.2.46,1
26.3.47,26.3.47,1
27.1.48,27.1.48,1
28.1.49,28.1.49,1
28.2.50,28.2.50,1
28.3.51,28.3.51,1
28.4.52,28.4.52,1
28.5.53,28.5.53,1
28.6.54,28.6.54,1
28.7.55,28.7.55,1
28.8.56,28.8.56,1
28.9.57,28.9.57,1
28.10.58,28.10.58,1
28.11.59,28.11.59,1
28.12.60,28.12.60,1
28.13.61,28.13.61,1
28.14.62,28.14.62,1
28.15.63,28.15.63,1
28.16.64,28.16.64,1
29.1.65,29.1.65,1
30.1.66,30.1.66,1
31.1.67,31.1.67,1
32.1.68,32.1.68,1
32.2.69,32.2.69,1
33.1.70,33.1.70,1
34.1.71,34.1.71,1
35.1.72,35.1.72,1
36.1.73,36.1.73,1
36.2.74,36.2.74,1
37.1.75,37.1.75,1
38.1.76,38.1.76,1
38.2.77,38.2.77,1
38.3.78,38.3.78,1
38.4.79,38.4.79,1
38.5.80,38.5.80,1
38.6.81,38.6.81,1
38.7.82,38.7.82,1
39.1.83,39.1.83,1
40.1.84,40.1.84,1
40.2.85,40.2.85,1
40.3.86,40.3.86,1
41.1.87,41.1.87,1
42.1.88,42.1.88,1
42.2.89,42.2.89,1
43.1.90,43.1.90,1
44.1.91,44.1.91,1
45.1.92,45.1.92,1
45.2.93,45.2.93,1
45.3.94,45.3.94,1
46.1.95,46.1.95,1
46.2.96,46.2.96,1
46.3.97,46.3.97,1
47.1.98,47.1.98,1
48.1.99,48.1.99,1
48.2.100,48.2.100,1
48.3.101,48.3.101,1
49.1.102,49.1.102,1
49.2.103,49.2.103,1
49.3.104,49.3.104,1
50.1.105,50.1.105,1
51.1.106,51.1.106,1
52.1.107,52.1.107,1
53.1.108,53.1.108,1
54.1.109,54.1.109,1
54.2.110,54.2.110,1
54.3.111,54.3.111,1
55.1.112,55.1.112,1
56.1.113,56.1.113,1
57.1.114,57.1.114,1
58.1.115,58.1.115,1
59.1.116,59.1.116,1
60.1.117,60.1.117,1
60.2.118,60.2.118,1
60.3.119,60.3.119,1
61.1.120,61.1.120,1
61.2.121,61.2.121,1
61.3.122,61.3.122,1
62.1.123,62.1.123,1
63.1.124,63.1.124,1
64.1.125,64.1.125,1
65.1.126,65.1.126,1
66.1.127,66.1.127,1
67.1.128,67.1.128,1
68.1.129,68.1.129,1
69.1.130,69.1.130,1
70.1.131,70.1.131,1
71.1.132,71.1.132,1
72.1.133,72.1.133,1
73.1.134,73.1.134,1
74.1.135,74.1.135,1
75.1.136,75.1.136,1
76.1.137,76.1.137,1
77.1.138,77.1.138,1
78.1.139,78.1.139,1
79.1.140,79.1.140,1
79.2.141,79.2.141,1
79.3.142,79.3.142,1
80.1.143,80.1.143,1
80.2.144,80.2.144,1
80.3.145,80.3.145,1
80.4.146,80.4.146,1
81.1.147,81.1.147,1
82.1.148,82.1.148,1
83.1.149,83.1.149,1
84.1.150,84.1.150,1
85.1.151,85.1.151,1
86.1.152,86.1.152,1
87.1.153,87.1.153,1
88.1.154,88.1.154,1
89.1.155,89.1.155,1
90.1.156,90.1.156,1
91.1.157,91.1.157,1
92.1.158,92.1.158,1
93.1.159,93.1.159,1
94.1.160,94.1.160,1
95.1.161,95.1.161,1
96.1.162,96.1.162,1
97.1.163,97.1.163,1
98.1.164,98.1.164,1
99.1.165,99.1.165,1
100.1.166,100.1.166,1
101.1.167,101.1.167,1
102.1.168,102.1.168,1
103.1.169,103.1.169,1
104.1.170,104.1.170,1
105.1.171,105.1.171,1
106.1.172,106.1.172,1
107.1.173,107.1.173,1
108.1.174,108.1.174,1
109.1.175,109.1.175,1
110.1.176,110.1.176,1
111.1.177,111.1.177,1
112.1.178,112.1.178,1
113.1.179,113.1.179,1
114.1.180,114.1.180,1
115.1.181,115.1.181,1
116.1.182,116.1.182,1
117.1.183,117.1.183,1
118.1.184,118.1.184,1
119.1.185,119.1.185,1
120.1.186,120.1.186,1
121.1.187,121.1.187,1
122.1.188,122.1.188,1
123.1.189,123.1.189,1
124.1.190,124.1.190,1
