1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
1.6.6,1.6.6,1
1.7.7,1.7.7,1
1.8.8,1.8.8,1
1.9.9,1.9.9,1
1.10.10,1.10.10,1
1.11.11,1.11.11,1
1.12.12,1.12.12,1
1.13.13,1.13.13,1
1.14.14,1.14.14,1
1.15.15,1.15.15,1
1.16.16,1.16.16,1
1.17.17,1.17.17,1
1.18.18,1.18.18,1
1.19.19,1.19.19,1
1.20.20,1.20.20,1
1.21.21,1.21.21,1
1.22.22,1.22.22,1
1.23.23,1.23.23,1
1.24.24,1.24.24,1
1.25.25,1.25.25,1
1.26.26,1.26.26,1
1.27.27,1.27.27,1
2.1.28,2.1.28,1
2.2.29,2.2.29,1
2.3.30,2.3.30,1
2.4.31,2.4.31,1
2.5.32,2.5.32,1
2.6.33,2.6.33,1
2.7.34,2.7.34,1
2.8.35,2.8.35,1
3.1.36,3.1.36,1
4.1.37,4.1.37,1
4.2.38,4.2.38,1
4.3.39,4.3.39,1
4.4.40,4.4.40,1
4.5.41,4.5.41,1
4.6.42,4.6.42,1
4.7.43,4.7.43,1
4.8.44,4.8.44,1
4.9.45,4.9.45,1
4.10.46,4.10.46,1
4.11.47,4.11.47,1
4.12.48,4.12.48,1
4.13.49,4.13.49,1
4.14.50,4.14.50,1
4.15.51,4.15.51,1
5.1.52,5.1.52,1
6.1.53,6.1.53,1
6.2.54,6.2.54,1
6.3.55,6.3.55,1
6.4.56,6.4.56,1
6.5.57,6.5.57,1
6.6.58,6.6.58,1
6.7.59,6.7.59,1
6.8.60,6.8.60,1
6.9.61,6.9.61,1
6.10.62,6.10.62,1
6.11.63,6.11.63,1
6.12.64,6.12.64,1
6.13.65,6.13.65,1
6.14.66,6.14.66,1
6.15.67,6.15.67,1
6.16.68,6.16.68,1
6.17.69,6.17.69,1
6.18.70,6.18.70,1
6.19.71,6.19.71,1
6.20.72,6.20.72,1
6.21.73,6.21.73,1
6.22.74,6.22.74,1
6.23.75,6.23.75,1
6.24.76,6.24.76,1
6.25.77,6.25.77,1
6.26.78,6.26.78,1
6.27.79,6.27.79,1
6.28.80,6.28.80,1
6.29.81,6.29.81,1
6.30.82,6.30.82,1
6.31.83,6.31.83,1
6.32.84,6.32.84,1
6.33.85,6.33.85,1
6.34.86,6.34.86,1
6.35.87,6.35.87,1
6.36.88,6.36.88,1
6.37.89,6.37.89,1
6.38.90,6.38.90,1
6.39.91,6.39.91,1
6.40.92,6.40.92,1
6.41.93,6.41.93,1
6.42.94,6.42.94,1
6.43.95,6.43.95,1
6.44.96,6.44.96,1
6.45.97,6.45.97,1
6.46.98,6.46.98,1
6.47.99,6.47.99,1
6.48.100,6.48.100,1
6.49.101,6.49.101,1
6.50.102,6.50.102,1
6.51.103,6.51.103,1
6.52.104,6.52.104,1
6.53.105,6.53.105,1
6.54.106,6.54.106,1
6.55.107,6.55.107,1
6.56.108,6.56.108,1
6.57.109,6.57.109,1
6.58.110,6.58.110,1
6.59.111,6.59.111,1
6.60.112,6.60.112,1
6.61.113,6.61.113,1
6.62.114,6.62.114,1
6.63.115,6.63.115,1
6.64.116,6.64.116,1
6.65.117,6.65.117,1
6.66.118,6.66.118,1
6.67.119,6.67.119,1
6.68.120,6.68.120,1
6.69.121,6.69.121,1
6.70.122,6.70.122,1
6.71.123,6.71.123,1
6.72.124,6.72.124,1
6.73.125,6.73.125,1
6.74.126,6.74.126,1
6.75.127,6.75.127,1
6.76.128,6.76.128,1
6.77.129,6.77.129,1
6.78.130,6.78.130,1
6.79.131,6.79.131,1
6.80.132,6.80.132,1
6.81.133,6.81.133,1
6.82.134,6.82.134,1
6.83.135,6.83.135,1
6.84.136,6.84.136,1
6.85.137,6.85.137,1
6.86.138,6.86.138,1
6.87.139,6.87.139,1
6.88.140,6.88.140,1
6.89.141,6.89.141,1
6.90.142,6.90.142,1
6.91.143,6.91.143,1
6.92.144,6.92.144,1
6.93.145,6.93.145,1
6.94.146,6.94.146,1
6.95.147,6.95.147,1
6.96.148,6.96.148,1
6.97.149,6.97.149,1
6.98.150,6.98.150,1
6.99.151,6.99.151,1
6.100.152,6.100.152,1
6.101.153,6.101.153,1
6.102.154,6.102.154,1
6.103.155,6.103.155,1
6.104.156,6.104.156,1
6.105.157,6.105.157,1
6.106.158,6.106.158,1
6.107.159,6.107.159,1
