_,1.1.1,0
1.1.1,2.1.2,1
1.2.2,2.2.3,1
1.3.3,2.3.4,1
2.1.4,3.1.5,1
3.1.5,4.1.6,1
3.2.6,4.2.7,1
3.3.7,4.3.8,1
3.4.8,4.4.9,1
4.1.9,5.1.10,1
4.2.10,5.2.11,1
4.3.11,5.3.12,1
4.4.12,5.4.13,1
4.5.13,5.5.14,1
4.6.14,5.6.15,1
4.7.15,5.7.16,1
4.8.16,5.8.17,1
4.9.17,5.9.18,1
4.10.18,5.10.19,1
5.1.19,6.1.20,1
5.2.20,6.2.21,1
5.3.21,6.3.22,1
5.4.22,6.4.23,1
5.5.23,6.5.24,1
6.1.24,7.1.25,1
6.2.25,7.2.26,1
6.3.26,7.3.27,1
6.4.27,7.4.28,1
7.1.28,8.1.29,1
7.2.29,8.2.30,1
8.1.30,9.1.31,1
8.2.31,9.2.32,1
8.3.32,9.3.33,1
8.4.33,9.4.34,1
8.5.34,9.5.35,1
9.1.35,10.1.36,1
9.2.36,10.2.37,1
9.3.37,10.3.38,1
9.4.38,10.4.39,1
9.5.39,10.5.40,1
9.6.40,10.6.41,1
9.7.41,10.7.42,1
9.8.42,10.8.43,1
9.9.43,10.9.44,1
9.10.44,10.10.45,1
9.11.45,10.11.46,1
10.1.46,11.1.47,1
10.2.47,11.2.48,1
10.3.48,11.3.49,1
10.4.49,11.4.50,1
10.5.50,11.5.51,1
10.6.51,11.6.52,1
10.7.52,11.7.53,1
10.8.53,11.8.54,1
10.9.54,11.9.55,1
10.10.55,11.10.56,1
10.11.56,11.11.57,1
10.12.57,11.12.58,1
10.13.58,11.13.59,1
10.14.59,11.14.60,1
10.15.60,11.15.61,1
10.16.61,11.16.62,1
10.17.62,11.17.63,1
10.18.63,11.18.64,1
10.19.64,11.19.65,1
10.20.65,11.20.66,1
10.21.66,11.21.67,1
10.22.67,11.22.68,1
10.23.68,11.23.69,1
11.1.69,12.1.70,1
11.2.70,12.2.71,1
11.3.71,12.3.72,1
11.4.72,12.4.73,1
11.5.73,12.5.74,1
11.6.74,12.6.75,1
11.7.75,12.7.76,1
11.8.76,12.8.77,1
11.9.77,12.9.78,1
11.10.78,12.10.79,1
12.1.79,13.1.80,1
12.2.80,13.2.81,1
12.3.81,13.3.82,1
12.4.82,13.4.83,1
12.5.83,13.5.84,1
12.6.84,13.6.85,1
12.7.85,13.7.86,1
12.8.86,13.8.87,1
12.9.87,13.9.88,1
12.10.88,13.10.89,1
12.11.89,13.11.90,1
12.12.90,13.12.91,1
12.13.91,13.13.92,1
12.14.92,13.14.93,1
12.15.93,13.15.94,1
12.16.94,13.16.95,1
12.17.95,13.17.96,1
12.18.96,13.18.97,1
12.19.97,13.19.98,1
13.1.98,14.1.99,1
14.1.99,15.1.100,1
14.2.100,15.2.101,1
14.3.101,15.3.102,1
15.1.102,16.1.103,1
16.1.103,17.1.104,1
17.1.104,18.1.105,1
18.1.105,19.1.106,1
18.2.106,19.2.107,1
19.1.107,20.1.108,1
20.1.108,21.1.109,1
20.2.109,21.2.110,1
20.3.110,21.3.111,1
20.4.111,21.4.112,1
20.5.112,21.5.113,1
21.1.113,22.1.114,1
21.2.114,22.2.115,1
21.3.115,22.3.116,1
21.4.116,22.4.117,1
21.5.117,22.5.118,1
21.6.118,22.6.119,1
21.7.119,22.7.120,1
22.1.120,23.1.121,1
22.2.121,23.2.122,1
23.1.122,24.1.123,1
23.2.123,24.2.124,1
23.3.124,24.3.125,1
23.4.125,24.4.126,1
23.5.126,24.5.127,1
23.6.127,24.6.128,1
23.7.128,24.7.129,1
23.8.129,24.8.130,1
23.9.130,24.9.131,1
23.10.131,24.10.132,1
23.11.132,24.11.133,1
23.12.133,24.12.134,1
23.13.134,24.13.135,1
23.14.135,24.14.136,1
23.15.136,24.15.137,1
23.16.137,24.16.138,1
23.17.138,24.17.139,1
23.18.139,24.18.140,1
23.19.140,24.19.141,1
23.20.141,24.20.142,1
23.21.142,24.21.143,1
23.22.143,24.22.144,1
23.23.144,24.23.145,1
23.24.145,24.24.146,1
23.25.146,24.25.147,1
23.26.147,24.26.148,1
23.27.148,24.27.149,1
23.28.149,24.28.150,1
23.29.150,24.29.151,1
23.30.151,24.30.152,1
23.31.152,24.31.153,1
23.32.153,24.32.154,1
23.33.154,24.33.155,1
23.34.155,24.34.156,1
23.35.156,24.35.157,1
24.1.157,25.1.158,1
25.1.158,26.1.159,1
26.1.159,27.1.160,1
27.1.160,28.1.161,1
27.2.161,28.2.162,1
27.3.162,28.3.163,1
27.4.163,28.4.164,1
28.1.164,29.1.165,1
29.1.165,30.1.166,1
29.2.166,30.2.167,1
29.3.167,30.3.168,1
29.4.168,30.4.169,1
29.5.169,30.5.170,1
29.6.170,30.6.171,1
30.1.171,31.1.172,1
30.2.172,31.2.173,1
