_,2.1.6,0
_,3.7.13,0
_,3.8.14,0
_,3.11.17,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,_,0
3.1.7,3.1.7,1
3.2.8,3.2.8,1
3.3.9,3.3.9,1
3.4.10,3.4.10,1
3.5.11,3.5.11,1
4.1.12,4.1.19,1
4.2.13,4.2.20,1
4.3.14,4.3.21,0.7082405
5.1.15,5.1.22,1
5.2.16,5.2.23,1
5.3.17,_,0
5.4.18,5.3.24,1
5.5.19,5.4.25,1
5.6.20,5.5.26,1
5.7.21,5.6.27,1
5.8.22,5.7.28,1
5.9.23,5.8.29,1
5.10.24,5.9.30,1
5.11.25,5.10.31,1
5.12.26,5.11.32,1
5.13.27,5.12.33,1
5.14.28,5.13.34,1
5.15.29,5.14.35,1
6.1.30,_,0
6.2.31,6.1.36,1
6.3.32,6.2.37,1
6.4.33,6.3.38,1
6.5.34,6.4.39,1
6.6.35,6.5.40,1
7.1.36,7.1.41,1
7.2.37,7.2.42,1
7.3.38,7.3.43,1
7.4.39,7.4.44,1
7.5.40,7.5.45,1
7.6.41,7.6.46,1
7.7.42,7.7.47,1
7.8.43,7.8.48,1
7.9.44,7.9.49,1
7.10.45,7.10.50,1
7.11.46,7.11.51,1
7.12.47,7.12.52,1
7.13.48,7.13.53,1
7.14.49,7.14.54,1
7.15.50,7.15.55,1
8.1.51,_,0
8.2.52,8.1.56,1
8.3.53,8.2.57,1
8.4.54,8.3.58,1
9.1.55,9.1.59,1
9.2.56,9.2.60,1
9.3.57,9.3.61,1
10.1.58,10.1.62,1
10.2.59,10.2.63,1
10.3.60,10.3.64,1
10.4.61,10.4.65,1
10.5.62,10.5.66,1
10.6.63,10.6.67,1
10.7.64,10.7.68,1
10.8.65,10.8.69,1
10.9.66,10.9.70,1
10.10.67,10.10.71,1
10.11.68,10.11.72,1
10.12.69,10.12.73,1
10.13.70,10.13.74,1
10.14.71,10.14.75,1
10.15.72,10.15.76,1
10.16.73,10.16.77,1
10.17.74,10.17.78,1
10.18.75,10.18.79,1
10.19.76,10.19.80,1
10.20.77,10.20.81,1
10.21.78,10.21.82,1
10.22.79,10.22.83,1
10.23.80,10.23.84,1
11.1.81,11.1.85,1
11.2.82,11.2.86,1
11.3.83,11.3.87,0.9981191
11.4.84,11.4.88,1
11.5.85,11.5.89,1
11.6.86,11.6.90,1
11.7.87,11.7.91,1
11.8.88,11.8.92,1
12.1.89,_,0
12.2.90,12.1.93,1
12.3.91,12.2.94,1
12.4.92,12.3.95,1
12.5.93,12.4.96,1
12.6.94,12.5.97,1
12.7.95,12.6.98,1
12.8.96,12.7.99,1
12.9.97,12.8.100,1
12.10.98,12.9.101,1
12.11.99,12.10.102,1
12.12.100,12.11.103,1
12.13.101,12.12.104,1
12.14.102,12.13.105,1
13.1.103,13.1.106,1
13.2.104,13.2.107,1
13.3.105,13.3.108,1
13.4.106,13.4.109,1
13.5.107,13.5.110,1
13.6.108,13.6.111,1
13.7.109,13.7.112,1
13.8.110,13.8.113,1
13.9.111,13.9.114,1
13.10.112,13.10.115,1
13.11.113,13.11.116,1
13.12.114,13.12.117,1
13.13.115,13.13.118,1
13.14.116,13.14.119,1
14.1.117,14.1.120,1
14.2.118,14.2.121,1
14.3.119,14.3.122,1
14.4.120,14.4.123,1
14.5.121,14.5.124,1
15.1.122,15.1.125,1
15.2.123,15.2.126,1
15.3.124,15.3.127,1
15.4.125,15.4.128,1
15.5.126,15.5.129,1
15.6.127,15.6.130,1
15.7.128,15.7.131,1
15.8.129,15.8.132,1
15.9.130,15.9.133,1
15.10.131,15.10.134,1
16.1.132,16.1.135,1
16.2.133,16.2.136,1
16.3.134,16.3.137,1
16.4.135,16.4.138,1
16.5.136,16.5.139,1
16.6.137,16.6.140,1
16.7.138,16.7.141,1
16.8.139,16.8.142,1
16.9.140,16.9.143,1
17.1.141,17.1.144,1
17.2.142,17.2.145,1
17.3.143,17.3.146,1
17.4.144,17.4.147,1
17.5.145,17.5.148,1
17.6.146,17.6.149,1
17.7.147,17.7.150,1
17.8.148,17.8.151,1
17.9.149,17.9.152,1
18.1.150,18.1.153,1
18.2.151,18.2.154,1
18.3.152,18.3.155,1
18.4.153,18.4.156,1
18.5.154,18.5.157,1
18.6.155,18.6.158,1
18.7.156,18.7.159,1
18.8.157,18.8.160,1
18.9.158,18.9.161,1
18.10.159,18.10.162,1
18.11.160,18.11.163,1
18.12.161,18.12.164,1
18.13.162,18.13.165,1
18.14.163,18.14.166,1
18.15.164,18.15.167,1
18.16.165,18.16.168,1
18.17.166,18.17.169,1
18.18.167,18.18.170,1
18.19.168,18.19.171,1
18.20.169,18.20.172,1
18.21.170,18.21.173,1
18.22.171,18.22.174,1
18.23.172,18.23.175,1
18.24.173,18.24.176,1
18.25.174,18.25.177,1
18.26.175,18.26.178,1
18.27.176,18.27.179,1
18.28.177,18.28.180,1
18.29.178,18.29.181,1
19.1.179,19.1.182,1
19.2.180,19.2.183,1
19.3.181,19.3.184,1
19.4.182,19.4.185,1
19.5.183,19.5.186,1
19.6.184,19.6.187,0.9846077
19.7.185,19.7.188,1
19.8.186,19.8.189,0.98534894
19.9.187,19.9.190,1
19.10.188,19.10.191,0.99041367
19.11.189,19.11.192,1
20.1.190,20.1.193,1
20.2.191,20.2.194,1
20.3.192,20.3.195,1
20.4.193,20.4.196,1
20.5.194,20.5.197,1
20.6.195,20.6.198,1
20.7.196,20.7.199,1
20.8.197,20.8.200,1
20.9.198,20.9.201,1
20.10.199,20.10.202,1
20.11.200,20.11.203,1
20.12.201,20.12.204,1
20.13.202,20.13.205,1
21.1.203,21.1.206,1
21.2.204,21.2.207,1
21.3.205,21.3.208,1
22.1.206,22.1.209,1
22.2.207,22.2.210,1
22.3.208,22.3.211,1
22.4.209,22.4.212,1
22.5.210,22.5.213,1
22.6.211,22.6.214,1
22.7.212,22.7.215,1
22.8.213,22.8.216,1
22.9.214,22.9.217,1
22.10.215,22.10.218,1
22.11.216,22.11.219,1
22.12.217,22.12.220,1
22.13.218,22.13.221,1
22.14.219,22.14.222,1
23.1.220,23.1.223,1
23.2.221,23.2.224,1
23.3.222,23.3.225,1
23.4.223,23.4.226,1
23.5.224,23.5.227,1
24.1.225,_,0
24.2.226,24.1.228,1
24.3.227,24.2.229,1
24.4.228,24.3.230,1
24.5.229,24.4.231,1
24.6.230,24.5.232,1
24.7.231,24.6.233,1
24.8.232,24.7.234,1
25.1.233,25.1.235,1
26.1.234,3.9.15,0.8063443
26.2.235,3.10.16,0.78677046
26.3.236,3.12.18,0.7151716
26.4.237,3.6.12,0.6666667
26.5.238,26.1.236,1
26.6.239,26.2.237,1
26.7.240,26.3.238,1
26.8.241,26.4.239,1
26.9.242,26.5.240,1
27.1.243,27.1.241,1
27.2.244,27.2.242,1
27.3.245,27.3.243,1
27.4.246,27.4.244,1
27.5.247,27.5.245,1
27.6.248,27.6.246,1
27.7.249,27.7.247,1
27.8.250,27.8.248,1
27.9.251,27.9.249,1
27.10.252,27.10.250,1
27.11.253,27.11.251,1
27.12.254,27.12.252,1
27.13.255,27.13.253,1
27.14.256,27.14.254,1
27.15.257,27.15.255,1
27.16.258,27.16.256,1
27.17.259,27.17.257,1
27.18.260,27.18.258,1
28.1.261,28.1.259,1
28.2.262,28.2.260,1
28.3.263,28.3.261,1
28.4.264,28.4.262,1
29.1.265,29.1.263,1
29.2.266,29.2.264,1
29.3.267,29.3.265,1
29.4.268,29.4.266,1
29.5.269,29.5.267,1
29.6.270,29.6.268,1
29.7.271,29.7.269,1
