_,23.7.48,0
_,35.1.75,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,0.81935406
5.2.10,5.2.10,1
5.3.11,5.3.11,1
5.4.12,5.4.12,1
5.5.13,_,0
5.6.14,_,0
5.7.15,_,0
6.1.16,6.1.13,1
7.1.17,7.1.14,1
8.1.18,8.1.15,1
9.1.19,9.1.16,1
9.2.20,9.2.17,1
10.1.21,10.1.18,1
10.2.22,10.2.19,1
10.3.23,10.3.20,1
11.1.24,11.1.21,1
12.1.25,12.1.22,1
13.1.26,13.1.23,1
14.1.27,14.1.24,1
15.1.28,15.1.25,1
16.1.29,16.1.26,1
17.1.30,17.1.27,1
17.2.31,17.2.28,1
17.3.32,17.3.29,1
17.4.33,17.4.30,1
17.5.34,17.5.31,1
18.1.35,18.1.32,1
19.1.36,19.1.33,1
19.2.37,19.2.34,1
19.3.38,19.3.35,1
19.4.39,19.4.36,1
19.5.40,19.5.37,1
19.6.41,19.6.38,1
20.1.42,20.1.39,1
21.1.43,21.1.40,1
22.1.44,22.1.41,1
23.1.45,23.1.42,1
23.2.46,23.2.43,1
23.3.47,23.3.44,1
23.4.48,23.4.45,1
23.5.49,23.5.46,1
23.6.50,23.6.47,1
23.7.51,23.8.49,0.8869277
23.8.52,23.9.50,1
24.1.53,24.1.51,1
25.1.54,25.1.52,1
25.2.55,25.2.53,1
25.3.56,25.3.54,1
26.1.57,26.1.55,1
26.2.58,26.2.56,1
27.1.59,27.1.57,1
28.1.60,28.1.58,1
28.2.61,28.2.59,1
28.3.62,28.3.60,1
28.4.63,28.4.61,1
28.5.64,28.5.62,1
28.6.65,28.6.63,1
28.7.66,28.7.64,1
28.8.67,28.8.65,1
28.9.68,28.9.66,1
29.1.69,29.1.67,1
30.1.70,30.1.68,1
31.1.71,31.1.69,1
31.2.72,31.2.70,1
32.1.73,32.1.71,1
32.2.74,32.2.72,1
33.1.75,33.1.73,1
34.1.76,34.1.74,1
35.1.77,_,0
36.1.78,_,0
37.1.79,_,0
38.1.80,_,0
39.1.81,_,0
40.1.82,_,0
41.1.83,_,0
41.2.84,_,0
42.1.85,_,0
42.2.86,_,0
43.1.87,_,0
43.2.88,_,0
43.3.89,_,0
44.1.90,_,0
44.2.91,_,0
44.3.92,_,0
